0,tops,tunic
1,tops,poloshirt
2,tops,offShoulder
3,tops,sweater
4,tops,inner
5,tops,cut-and-sew
6,tops,parker
7,tops,bustier
8,tops,blouse
9,tops,T-shirt
10,tops,swrat
11,tops,tanktop
12,tops,knit
13,tops,shirt
14,tops,pullover
15,tops,camisole
16,outer,jacket
17,outer,military_jacket
18,outer,leather_jacket
19,outer,down_vest
20,outer,gown
21,outer,blouson
22,outer,boncho
23,outer,chester_coat
24,outer,down_jacket
25,outer,mountain_perker
26,outer,mouton_coat
27,outer,coat
28,outer,collarless_jacket
29,outer,MA_1
30,outer,denim_jacket
31,outer,down_coat
32,outer,raincoat
33,outer,mods_coat
34,outer,duffle_coat
35,outer,pcoat
36,outer,hur_coat
37,outer,cardigan
38,shoese,boots
39,shoese,pumps
40,shoese,loafers
41,shoese,rainshoes
42,shoese,sneakers
43,shoese,moccasin
44,shoese,sandals
45,shoese,mules
46,shoese,slip-ons
47,shoese,booty
48,shoese,flatshoes
49,shoese,beachsandal
50,shoese,dressshoes
51,onepeace,camidress
52,onepeace,dress
53,onepeace,maxidress
54,onepeace,onepiece
55,onepeace,minidress
56,onepeace,convenience
57,onepeace,saropetto
58,onepeace,all-in-one
59,onepeace,nittodress
60,onepeace,knee-lengthdress
61,onepeace,overalls
62,botoms,maxilengthskirt
63,botoms,denimpants
64,botoms,culottespants
65,botoms,skirt
66,botoms,flareskirt
67,botoms,sweatpants
68,botoms,widepants
69,botoms,kneelengthskirt
70,botoms,tightskirt
71,botoms,halfpants
72,botoms,tulleskirt
73,botoms,jumperskirt
74,botoms,mimoreskirt
75,botoms,pants
76,botoms,denimskirt
77,botoms,shorts
78,botoms,denim
79,botoms,tuckpants
80,botoms,chinopants
81,botoms,slacks
82,botoms,miniskirt
83,botoms,cargopants
84,botoms,joggerpants
85,botoms,teperedpants
86,botoms,skinnypants
87,botoms,croppedpants
88,botoms,gauchopants
89,botoms,pleatedskirt
